"species","treatment","rack","height_08_08","height_08_11","height_08_14","height_08_18","height_08_20","height_08_22","height_08_25","final_height","status_08_08","status_08_11","status_08_14","status_08_18","status_08_20","status_08_22","final_status","chlorophyll_08_18","chlorophyll_08_22","chlorophyll_final","leaf_count_08_26","leaf_count_08_28","leaf_count_final"
"","Control",1,1.6,1.6,1.8,1.9,2.1,2.4,5.1,5.8,2,2,2,2,2,2,NA,44.8,27.2,36.6,2,3,3
"","Control",1,1.4,2.7,2.9,3.3,3.5,3.5,5.9,6.7,2,2,2,2,2,2,NA,NA,NA,NA,3,3,3
"","Control",1,2.2,4.6,5.5,4.8,5.1,5.3,8.2,9.6,2,2,2,2,2,1,NA,NA,NA,NA,2,2,2
"","Control",1,1.6,2.9,4.2,4.7,5,5.1,9.3,10.8,2,2,2,1,2,1,NA,NA,NA,NA,2,3,3
"","Control",1,0.6,4.8,6,6.2,7,8.3,10.9,11.1,2,2,2,2,2,2,NA,NA,NA,NA,3,3,3
"","Control (Bacteria) ",1,0.3,2.4,3.5,3.5,3.6,4.2,6.4,7.9,2,2,2,2,2,2,NA,39.3,23.2,37.5,3,3,3
"","Control (Bacteria) ",1,NA,2.3,2.6,4.1,4.3,4.7,7.3,8.4,NA,2,2,2,2,2,NA,NA,NA,NA,3,3,3
"","Control (Fungi) ",1,NA,4.5,4.9,5.2,5.4,5.5,7.5,8.5,NA,2,2,2,2,2,NA,46.5,23.1,29.7,2,2,2
"","Control (Fungi) ",1,NA,1.1,1.1,1.1,1.3,1.8,3.7,5.4,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,2
"","Control (Fungi) ",1,NA,2.4,3.1,3.3,3.5,3.9,5.8,7.3,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,2
"","Control (Fungi) ",1,NA,0.7,1.3,1.8,2,2.1,2.5,5,NA,2,2,2,2,2,NA,NA,NA,NA,2,2,2
